step,time_hours,biomass,glucose,ethanol,contaminated,contamination_type,episode_id,has_contamination,contamination_step
0,0,0.7846807024971069,20.476649574316024,0.5629251993021543,False,none,0,False,-1
1,1,1.1153121078269952,19.623770906754686,1.3572465916012955,False,none,0,False,-1
2,2,1.5768372761238343,18.430356015538138,2.468860654941007,False,none,0,False,-1
3,3,2.213174652702462,16.779264002570493,4.007048315975446,False,none,0,False,-1
4,4,3.0759792945814155,14.529711721630699,6.103284369686676,False,none,0,False,-1
5,5,4.219493786801603,11.527681023645105,8.901681192855778,False,none,0,False,-1
6,6,5.685649687112962,7.638841496540217,12.528587803571883,False,none,0,False,-1
7,7,7.440034473124535,2.8928428109325566,16.95919528132424,False,none,0,False,-1
8,8,8.337626322842596,8.844466708013798e-07,19.88610357025618,False,none,0,False,-1
9,9,8.190199120107936,8.844466708013798e-07,20.736804491734652,False,none,0,False,-1
10,10,8.045378747429067,8.844466708013798e-07,21.572463191089494,False,none,0,False,-1
11,11,7.903119109908084,8.844466708013798e-07,22.393345650252137,False,none,0,False,-1
12,12,7.763374927759344,8.844466708013798e-07,23.199713147702045,False,none,0,False,-1
13,13,7.626101721914643,8.844466708013798e-07,23.991822341529513,False,none,0,False,-1
14,14,7.4912557998395,8.844466708013798e-07,24.76992535128002,False,none,0,False,-1
15,15,7.358794241621785,8.844466708013798e-07,25.53426983822721,False,none,0,False,-1
16,16,7.228674886312113,8.844466708013798e-07,26.2850990841931,False,none,0,False,-1
17,17,7.100856318492452,8.844466708013798e-07,27.0226520690513,False,none,0,False,-1
18,18,6.975297855100187,8.844466708013798e-07,27.747163546756415,False,none,0,False,-1
19,19,6.851959532457722,8.844466708013798e-07,28.458864120187197,False,none,0,False,-1
20,20,6.730802093555292,8.844466708013798e-07,29.157980314528697,False,none,0,False,-1
21,21,6.611786975564954,8.844466708013798e-07,29.844734649320433,False,none,0,False,-1
22,22,6.494876297545958,8.844466708013798e-07,30.519345709400262,False,none,0,False,-1
23,23,6.380032848401533,8.844466708013798e-07,31.182028214397434,False,none,0,False,-1
24,24,6.267220075009965,8.844466708013798e-07,31.832993087219958,False,none,0,False,-1
